ID,Bearbeiter,Active,quelle,titel_de,description_de,group,Dauer (Minuten),Schwerpunkt,Level,Anleitung,Material,Unnamed: 12
,,,,,,,,, ,,,
,,,,,,,,, ,,,
,,,,,,,,, ,,,
,,,,,,,,, ,,,
,,,,,,,,, ,,,
,,,,,,,,, ,,,
,,,,,,,,, ,,,
,,,,,,,,, ,,,
,,,,,,,,, ,,,
,,,,,,,,, ,,,
,,,,,,,,, ,,,
,,,,,,,,, ,,,
,,,,,,,,, ,,,
,,,,,,,,, ,,,
,,,,,,,,, ,,,
,,,,,,,,, ,,,
,,,,,,,,, ,,,
,,,,,,,,, ,,,
,,,,,,,,, ,,,
,,,,,,,,, ,,,
,,,,,,,,, ,,,
,,,,,,,,, ,,,
,,,,,,,,, ,,,
,,,,,,,,, ,,,
,,,,,,,,, ,,,
,,,,,,,,, ,,,
,,,,,,,,, ,,,
,,,,,,,,, ,,,
,,,,,,,,, ,,,
,,,,,,,,, ,,,
,,,,,,,,, ,,,
,,,,,,,,, ,,,
,,,,,,,,, ,,,
,,,,,,,,, ,,,
,,,,,,,,, ,,,
,,,,,,,,, ,,,
,,,,,,,,, ,,,
,,,,,,,,, ,,,
,,,,,,,,, ,,,
,,,,,,,,, ,,,
,,,,,,,,, ,,,
,,,,,,,,, ,,,
,,,,,,,,, ,,,
,,,,,,,,, ,,,
,,,,,,,,, ,,,
,,,,,,,,, ,,,
,,,,,,,,, ,,,
,,,,,,,,, ,,,
,,,,,,,,, ,,,
,,,,,,,,, ,,,
,,,,,,,,, ,,,
,,,,,,,,, ,,,
,,,,,,,,, ,,,
,,,,,,,,, ,,,
,,,,,,,,, ,,,
,,,,,,,,, ,,,
,,,,,,,,, ,,,
,,,,,,,,, ,,,
,,,,,,,,, ,,,
,,,,,,,,, ,,,
,,,,,,,,, ,,,
,,,,,,,,, ,,,
,,,,,,,,, ,,,
,,,,,,,,, ,,,
,,,,,,,,, ,,,
,,,,,,,,, ,,,
,,,,,,,,, ,,,
,,,,,,,,, ,,,
,,,,,,,,, ,,,
,,,,,,,,, ,,,
,,,,,,,,, ,,,
,,,,,,,,, ,,,
,,,,,,,,, ,,,
,,,,,,,,, ,,,
,,,,,,,,, ,,,
,,,,,,,,, ,,,
,,,,,,,,, ,,,
,,,,,,,,, ,,,
,,,,,,,,, ,,,
,,,,,,,,, ,,,
,,,,,,,,, ,,,
,,,,,,,,, ,,,
,,,,,,,,, ,,,
,,,,,,,,, ,,,
,,,,,,,,, ,,,
,,,,,,,,, ,,,
,,,,,,,,, ,,,
,,,,,,,,, ,,,
,,,,,,,,, ,,,
,,,,,,,,, ,,,
,,,,,,,,, ,,,
,,,,,,,,, ,,,
,,,,,,,,, ,,,
,,,,,,,,, ,,,
,,,,,,,,, ,,,
,,,,,,,,, ,,,
,,,,,,,,, ,,,
,,,,,,,,, ,,,
,,,,,,,,, ,,,
,,,,,,,,, ,,,
,,,,,,,,, ,,,
,,,,,,,,, ,,,
,,,,,,,,, ,,,
,,,,,,,,, ,,,
,,,,,,,,, ,,,
,,,,,,,,, ,,,
,,,,,,,,, ,,,
,,,,,,,,, ,,,
,,,,,,,,, ,,,
,,,,,,,,, ,,,
